school_year,school_year_offset,sis_user_id,student_label,grade_level,course_id,course_name,course_track,section_id,teacher_id,attendance_category,boy_assignment_label,eoy_assignment_label,boy_score,eoy_score,present_boy,present_eoy,observed_growth_delta,modeled_eoy_growth_delta,latent_readiness_after_boy,latent_readiness_after_eoy,latent_eoy_transition_delta,growth_band
2025-2026,0,SYN-SIS-000009,Synthetic Student 009,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-024,TCH-005,at_risk,Assignment 01,Assignment 02,0.0,0.0,false,false,,,74.88,79.4221,4.5421,absent_both_windows
2025-2026,0,SYN-SIS-000019,Synthetic Student 019,9,MATH-GEOM,Geometry,regular,Y00-SEC-005,TCH-001,high,Assignment 01,Assignment 02,32.09,33.82,true,true,1.7299999999999969,1.73,30.77,39.72,8.95,stable
2025-2026,0,SYN-SIS-000025,Synthetic Student 025,9,MATH-GEOM,Geometry,regular,Y00-SEC-003,TCH-002,normal,Assignment 01,Assignment 02,0.0,68.69,false,true,,,63.21,66.5617,3.3517,first_evidence_eoy
2025-2026,0,SYN-SIS-000026,Synthetic Student 026,10,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-023,TCH-005,at_risk,Assignment 01,Assignment 02,47.21,44.92,true,true,-2.289999999999999,-2.29,43.79,46.8663,3.0763,stable
2025-2026,0,SYN-SIS-000051,Synthetic Student 051,9,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-017,TCH-004,high,Assignment 01,Assignment 02,57.53,61.75,true,true,4.219999999999999,4.22,57.51,63.3241,5.8141,stable
2025-2026,0,SYN-SIS-000052,Synthetic Student 052,10,MATH-GEOM,Geometry,regular,Y00-SEC-006,TCH-002,high,Assignment 01,Assignment 02,56.8,0.0,true,false,,,59.97,65.4288,5.4588,absent_eoy
2025-2026,0,SYN-SIS-000053,Synthetic Student 053,9,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-018,TCH-004,high,Assignment 01,Assignment 02,95.31,98.97,true,true,3.6599999999999966,3.66,91.73,96.1046,4.3746,stable
2025-2026,0,SYN-SIS-000064,Synthetic Student 064,11,MATH-ALG2,Algebra 2,regular,Y00-SEC-009,TCH-002,normal,Assignment 01,Assignment 02,27.06,32.27,true,true,5.210000000000004,5.21,26.98,33.811,6.831,positive_growth
2025-2026,0,SYN-SIS-000077,Synthetic Student 077,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-021,TCH-005,normal,Assignment 01,Assignment 02,0.0,28.04,false,true,,,18.39,28.9862,10.5962,first_evidence_eoy
2025-2026,0,SYN-SIS-000111,Synthetic Student 111,9,MATH-GEOM,Geometry,regular,Y00-SEC-003,TCH-002,normal,Assignment 01,Assignment 02,31.03,34.45,true,true,3.4200000000000017,3.42,25.91,32.8196,6.9096,stable
2025-2026,0,SYN-SIS-000122,Synthetic Student 122,10,MATH-GEOM,Geometry,regular,Y00-SEC-004,TCH-002,normal,Assignment 01,Assignment 02,29.27,29.42,true,true,0.15000000000000213,0.15,27.38,33.1107,5.7307,stable
2025-2026,0,SYN-SIS-000128,Synthetic Student 128,10,MATH-GEOM,Geometry,regular,Y00-SEC-008,TCH-002,normal,Assignment 01,Assignment 02,73.46,69.5,true,true,-3.9599999999999937,-3.96,71.82,73.1152,1.2952,stable
2025-2026,0,SYN-SIS-000132,Synthetic Student 132,10,MATH-PRECALC,Precalculus,regular,Y00-SEC-019,TCH-004,normal,Assignment 01,Assignment 02,63.73,67.04,true,true,3.3100000000000094,3.31,60.64,64.2002,3.5602,stable
2025-2026,0,SYN-SIS-000149,Synthetic Student 149,9,MATH-GEOM,Geometry,regular,Y00-SEC-003,TCH-002,normal,Assignment 01,Assignment 02,44.0,59.56,true,true,15.560000000000002,15.56,48.03,57.6791,9.6491,large_positive_growth
2025-2026,0,SYN-SIS-000159,Synthetic Student 159,10,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-013,TCH-003,normal,Assignment 01,Assignment 02,47.99,48.7,true,true,0.7100000000000009,0.71,44.01,51.1061,7.0961,stable
