extraction_batch_id,source_system,school_year,canvas_course_id,course_id,course_name,course_track,section_id,section_label,period_label,teacher_id,teacher_label,sis_user_id,student_label,email,grade_level,enrollment_status
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000017,Synthetic Student 017,rmartinez29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000035,Synthetic Student 035,plewis29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000046,Synthetic Student 046,fdavis29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000081,Synthetic Student 081,apatel29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000100,Synthetic Student 100,vnguyen29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000113,Synthetic Student 113,mnelson29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000115,Synthetic Student 115,pprice28@schoolname.example,10,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000142,Synthetic Student 142,bevans29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000172,Synthetic Student 172,lprice29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000225,Synthetic Student 225,elewis29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,TCH-001,Teacher 01,SYN-SIS-000279,Synthetic Student 279,thayes29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,TCH-001,Teacher 01,SYN-SIS-000050,Synthetic Student 050,jhayes29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,TCH-001,Teacher 01,SYN-SIS-000065,Synthetic Student 065,edavis29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,TCH-001,Teacher 01,SYN-SIS-000086,Synthetic Student 086,fflores29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,TCH-001,Teacher 01,SYN-SIS-000171,Synthetic Student 171,kortiz29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,TCH-001,Teacher 01,SYN-SIS-000204,Synthetic Student 204,djohnson29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,TCH-001,Teacher 01,SYN-SIS-000205,Synthetic Student 205,ekim29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,TCH-001,Teacher 01,SYN-SIS-000221,Synthetic Student 221,ahayes29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,TCH-001,Teacher 01,SYN-SIS-000231,Synthetic Student 231,kmiller29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,TCH-001,Teacher 01,SYN-SIS-000254,Synthetic Student 254,nbrooks28@schoolname.example,10,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,TCH-001,Teacher 01,SYN-SIS-000263,Synthetic Student 263,clewis29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-012,Honors Algebra 2 - Synthetic Section 01-12,Period 2,TCH-003,Teacher 03,SYN-SIS-000031,Synthetic Student 031,khayes29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-012,Honors Algebra 2 - Synthetic Section 01-12,Period 2,TCH-003,Teacher 03,SYN-SIS-000045,Synthetic Student 045,echen29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-012,Honors Algebra 2 - Synthetic Section 01-12,Period 2,TCH-003,Teacher 03,SYN-SIS-000092,Synthetic Student 092,llewis29@schoolname.example,9,active
synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-012,Honors Algebra 2 - Synthetic Section 01-12,Period 2,TCH-003,Teacher 03,SYN-SIS-000098,Synthetic Student 098,smiller28@schoolname.example,10,active
