school_year,sis_user_id,canonical_student_label,canvas_student_label,canonical_course_id,canvas_course_id,canonical_section_id,canvas_section_id,canonical_teacher_id,canvas_teacher_id,canonical_enrollment_status,canvas_enrollment_status,canvas_email,reconciliation_status
2025-2026,SYN-SIS-000017,Synthetic Student 017,Synthetic Student 017,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,rmartinez29@schoolname.example,matched
2025-2026,SYN-SIS-000035,Synthetic Student 035,Synthetic Student 035,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,plewis29@schoolname.example,matched
2025-2026,SYN-SIS-000046,Synthetic Student 046,Synthetic Student 046,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,fdavis29@schoolname.example,matched
2025-2026,SYN-SIS-000081,Synthetic Student 081,Synthetic Student 081,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,apatel29@schoolname.example,matched
2025-2026,SYN-SIS-000100,Synthetic Student 100,Synthetic Student 100,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,vnguyen29@schoolname.example,matched
2025-2026,SYN-SIS-000113,Synthetic Student 113,Synthetic Student 113,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,mnelson29@schoolname.example,matched
2025-2026,SYN-SIS-000115,Synthetic Student 115,Synthetic Student 115,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,pprice28@schoolname.example,matched
2025-2026,SYN-SIS-000142,Synthetic Student 142,Synthetic Student 142,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,bevans29@schoolname.example,matched
2025-2026,SYN-SIS-000172,Synthetic Student 172,Synthetic Student 172,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,lprice29@schoolname.example,matched
2025-2026,SYN-SIS-000225,Synthetic Student 225,Synthetic Student 225,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,elewis29@schoolname.example,matched
2025-2026,SYN-SIS-000279,Synthetic Student 279,Synthetic Student 279,MATH-ALG1,MATH-ALG1,Y00-SEC-001,Y00-SEC-001,TCH-001,TCH-001,active,active,thayes29@schoolname.example,matched
