school_year,school_year_offset,sis_user_id,student_label,grade_level,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,assignment_label,sequence_index,assessment_window,expected_transition_type,actual_transition_type,generation_mode,population_status,attendance_category,attendance_probability,score,present_student_score,potential_score,posterior_readiness_after,growth_delta,latent_transition_type,latent_readiness_before,latent_readiness_after,latent_transition_delta,academic_profile_status,is_populated,is_present,is_nonparticipation_zero
2025-2026,0,SYN-SIS-000001,Synthetic Student 001,9,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-014,Honors Algebra 2 - Synthetic Section 01-14,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,normal,0.8841,0.0,,,,,initialize_latent_readiness,,40.32,,pending_no_present_scores,true,false,true
2025-2026,0,SYN-SIS-000002,Synthetic Student 002,10,MATH-ALG2,Algebra 2,regular,Y00-SEC-011,Algebra 2 - Synthetic Section 01-11,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9774,53.15,53.15,52.85,52.1639,,initialize_latent_readiness,,52.85,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000003,Synthetic Student 003,11,MATH-ALG2,Algebra 2,regular,Y00-SEC-011,Algebra 2 - Synthetic Section 01-11,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9866,21.44,21.44,18.64,25.653,,initialize_latent_readiness,,18.64,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000004,Synthetic Student 004,11,MATH-ALG2,Algebra 2,regular,Y00-SEC-010,Algebra 2 - Synthetic Section 01-10,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9667,47.52,47.52,45.93,47.6861,,initialize_latent_readiness,,45.93,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000005,Synthetic Student 005,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-024,AP Calculus AB - Synthetic Section 01-24,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9907,35.69,35.69,43.47,38.9014,,initialize_latent_readiness,,43.47,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000006,Synthetic Student 006,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-022,AP Calculus AB - Synthetic Section 01-22,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9444,48.63,48.63,52.11,49.5549,,initialize_latent_readiness,,52.11,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000007,Synthetic Student 007,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-022,AP Calculus AB - Synthetic Section 01-22,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9139,56.18,56.18,55.17,56.212,,initialize_latent_readiness,,55.17,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000008,Synthetic Student 008,11,MATH-AP-CALC-BC,AP Calculus BC,ap,Y00-SEC-026,AP Calculus BC - Synthetic Section 01-26,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9429,62.75,62.75,63.21,61.4839,,initialize_latent_readiness,,63.21,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000009,Synthetic Student 009,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-024,AP Calculus AB - Synthetic Section 01-24,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,at_risk,0.708,0.0,,,,,initialize_latent_readiness,,74.88,,pending_no_present_scores,true,false,true
2025-2026,0,SYN-SIS-000010,Synthetic Student 010,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-023,AP Calculus AB - Synthetic Section 01-23,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,normal,0.9258,0.0,,,,,initialize_latent_readiness,,68.85,,pending_no_present_scores,true,false,true
2025-2026,0,SYN-SIS-000011,Synthetic Student 011,9,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-018,AP Precalculus - Synthetic Section 01-18,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,high,0.9686,0.0,,,,,initialize_latent_readiness,,32.59,,pending_no_present_scores,true,false,true
2025-2026,0,SYN-SIS-000012,Synthetic Student 012,9,MATH-GEOM,Geometry,regular,Y00-SEC-008,Geometry - Synthetic Section 01-08,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9811,49.92,49.92,51.07,49.1566,,initialize_latent_readiness,,51.07,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000013,Synthetic Student 013,10,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-015,Honors Algebra 2 - Synthetic Section 01-15,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9348,68.63,68.63,65.44,65.8625,,initialize_latent_readiness,,65.44,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000014,Synthetic Student 014,10,MATH-ALG2,Algebra 2,regular,Y00-SEC-010,Algebra 2 - Synthetic Section 01-10,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,normal,0.9298,0.0,,,,,initialize_latent_readiness,,50.79,,pending_no_present_scores,true,false,true
2025-2026,0,SYN-SIS-000015,Synthetic Student 015,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-022,AP Calculus AB - Synthetic Section 01-22,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9941,41.18,41.18,40.95,43.261,,initialize_latent_readiness,,40.95,,initialized_assignment_01,true,true,false
