school_year,school_year_offset,sis_user_id,student_label,grade_level,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,attendance_category,attendance_probability,boy_assignment_label,eoy_assignment_label,boy_score,eoy_score,present_boy,present_eoy,modeled_eoy_growth_delta,posterior_readiness_after_eoy,latent_readiness_after_boy,latent_readiness_after_eoy,latent_eoy_transition_delta,eoy_generation_mode,eoy_transition_type,eoy_academic_profile_status,observed_growth_delta,academic_profile_status
2025-2026,0,SYN-SIS-000009,Synthetic Student 009,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-024,AP Calculus AB - Synthetic Section 01-24,TCH-005,Teacher 05,at_risk,0.708,Assignment 01,Assignment 02,0.0,0.0,false,false,,,74.88,79.4221,4.5421,absent_no_update,absent_no_update,pending_no_present_scores,,pending_no_present_scores
2025-2026,0,SYN-SIS-000019,Synthetic Student 019,9,MATH-GEOM,Geometry,regular,Y00-SEC-005,Geometry - Synthetic Section 01-05,TCH-001,Teacher 01,high,0.9846,Assignment 01,Assignment 02,32.09,33.82,true,true,1.73,34.1163,30.77,39.72,8.95,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,1.7299999999999969,updated_assignment_02
2025-2026,0,SYN-SIS-000025,Synthetic Student 025,9,MATH-GEOM,Geometry,regular,Y00-SEC-003,Geometry - Synthetic Section 01-03,TCH-002,Teacher 02,normal,0.9128,Assignment 01,Assignment 02,0.0,68.69,false,true,,65.014,63.21,66.5617,3.3517,first_present_evidence_from_latent,initialize_readiness,initialized_assignment_02,,initialized_assignment_02
2025-2026,0,SYN-SIS-000026,Synthetic Student 026,10,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-023,AP Calculus AB - Synthetic Section 01-23,TCH-005,Teacher 05,at_risk,0.7479,Assignment 01,Assignment 02,47.21,44.92,true,true,-2.29,45.5197,43.79,46.8663,3.0763,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,-2.289999999999999,updated_assignment_02
2025-2026,0,SYN-SIS-000051,Synthetic Student 051,9,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-017,AP Precalculus - Synthetic Section 01-17,TCH-004,Teacher 04,high,0.9473,Assignment 01,Assignment 02,57.53,61.75,true,true,4.22,60.8095,57.51,63.3241,5.8141,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,4.219999999999999,updated_assignment_02
2025-2026,0,SYN-SIS-000052,Synthetic Student 052,10,MATH-GEOM,Geometry,regular,Y00-SEC-006,Geometry - Synthetic Section 01-06,TCH-002,Teacher 02,high,0.9429,Assignment 01,Assignment 02,56.8,0.0,true,false,,,59.97,65.4288,5.4588,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2025-2026,0,SYN-SIS-000053,Synthetic Student 053,9,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-018,AP Precalculus - Synthetic Section 01-18,TCH-004,Teacher 04,high,0.9547,Assignment 01,Assignment 02,95.31,98.97,true,true,3.66,96.4638,91.73,96.1046,4.3746,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,3.6599999999999966,updated_assignment_02
2025-2026,0,SYN-SIS-000064,Synthetic Student 064,11,MATH-ALG2,Algebra 2,regular,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,normal,0.9531,Assignment 01,Assignment 02,27.06,32.27,true,true,5.21,32.4034,26.98,33.811,6.831,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,5.210000000000004,updated_assignment_02
2025-2026,0,SYN-SIS-000077,Synthetic Student 077,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-021,AP Calculus AB - Synthetic Section 01-21,TCH-005,Teacher 05,normal,0.8774,Assignment 01,Assignment 02,0.0,28.04,false,true,,32.1599,18.39,28.9862,10.5962,first_present_evidence_from_latent,initialize_readiness,initialized_assignment_02,,initialized_assignment_02
2025-2026,0,SYN-SIS-000111,Synthetic Student 111,9,MATH-GEOM,Geometry,regular,Y00-SEC-003,Geometry - Synthetic Section 01-03,TCH-002,Teacher 02,normal,0.9373,Assignment 01,Assignment 02,31.03,34.45,true,true,3.42,34.5304,25.91,32.8196,6.9096,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,3.4200000000000017,updated_assignment_02
2025-2026,0,SYN-SIS-000122,Synthetic Student 122,10,MATH-GEOM,Geometry,regular,Y00-SEC-004,Geometry - Synthetic Section 01-04,TCH-002,Teacher 02,normal,0.957,Assignment 01,Assignment 02,29.27,29.42,true,true,0.15,30.1633,27.38,33.1107,5.7307,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,0.15000000000000213,updated_assignment_02
2025-2026,0,SYN-SIS-000128,Synthetic Student 128,10,MATH-GEOM,Geometry,regular,Y00-SEC-008,Geometry - Synthetic Section 01-08,TCH-002,Teacher 02,normal,0.8837,Assignment 01,Assignment 02,73.46,69.5,true,true,-3.96,68.9481,71.82,73.1152,1.2952,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,-3.9599999999999937,updated_assignment_02
