Student,ID,SIS User ID,SIS Login ID,Email,Section,Assignment 01,Assignment 02
Synthetic Student 001,SYN-EXP-000001,SYN-SIS-000001,synthetic001,astone29@schoolname.example,Section A,0,44.19
Synthetic Student 002,SYN-EXP-000002,SYN-SIS-000002,synthetic002,bmiller28@schoolname.example,Section B,53.15,57.71
Synthetic Student 003,SYN-EXP-000003,SYN-SIS-000003,synthetic003,crivera27@schoolname.example,Section C,21.44,26.9
Synthetic Student 004,SYN-EXP-000004,SYN-SIS-000004,synthetic004,dnguyen27@schoolname.example,Section D,47.52,52.69
Synthetic Student 005,SYN-EXP-000005,SYN-SIS-000005,synthetic005,epatel26@schoolname.example,Section A,35.69,53.51
Synthetic Student 006,SYN-EXP-000006,SYN-SIS-000006,synthetic006,fbrooks27@schoolname.example,Section B,48.63,58.36
Synthetic Student 007,SYN-EXP-000007,SYN-SIS-000007,synthetic007,gchen26@schoolname.example,Section C,56.18,66.4
Synthetic Student 008,SYN-EXP-000008,SYN-SIS-000008,synthetic008,hdavis27@schoolname.example,Section D,62.75,67.58
Synthetic Student 009,SYN-EXP-000009,SYN-SIS-000009,synthetic009,ievans27@schoolname.example,Section A,0,0
Synthetic Student 010,SYN-EXP-000010,SYN-SIS-000010,synthetic010,jflores26@schoolname.example,Section B,0,70.05
Synthetic Student 011,SYN-EXP-000011,SYN-SIS-000011,synthetic011,kgarcia29@schoolname.example,Section C,0,47.07
Synthetic Student 012,SYN-EXP-000012,SYN-SIS-000012,synthetic012,lhayes29@schoolname.example,Section D,49.92,56.88
Synthetic Student 013,SYN-EXP-000013,SYN-SIS-000013,synthetic013,mibrahim28@schoolname.example,Section A,68.63,70.55
Synthetic Student 014,SYN-EXP-000014,SYN-SIS-000014,synthetic014,njohnson28@schoolname.example,Section B,0,54.28
Synthetic Student 015,SYN-EXP-000015,SYN-SIS-000015,synthetic015,pkim27@schoolname.example,Section C,41.18,50.01
Synthetic Student 016,SYN-EXP-000016,SYN-SIS-000016,synthetic016,qlewis29@schoolname.example,Section D,81.41,81.33
Synthetic Student 017,SYN-EXP-000017,SYN-SIS-000017,synthetic017,rmartinez29@schoolname.example,Section A,15.53,34.89
Synthetic Student 018,SYN-EXP-000018,SYN-SIS-000018,synthetic018,snelson28@schoolname.example,Section B,89.19,95.72
Synthetic Student 019,SYN-EXP-000019,SYN-SIS-000019,synthetic019,tortiz29@schoolname.example,Section C,32.09,33.82
Synthetic Student 020,SYN-EXP-000020,SYN-SIS-000020,synthetic020,vprice27@schoolname.example,Section D,77.78,85.27
Synthetic Student 021,SYN-EXP-000021,SYN-SIS-000021,synthetic021,amiller27@schoolname.example,Section A,90.14,93.7
Synthetic Student 022,SYN-EXP-000022,SYN-SIS-000022,synthetic022,brivera29@schoolname.example,Section B,66.55,66.37
Synthetic Student 023,SYN-EXP-000023,SYN-SIS-000023,synthetic023,cnguyen28@schoolname.example,Section C,77.21,80.29
Synthetic Student 024,SYN-EXP-000024,SYN-SIS-000024,synthetic024,dpatel26@schoolname.example,Section D,59.22,68.87
Synthetic Student 025,SYN-EXP-000025,SYN-SIS-000025,synthetic025,ebrooks29@schoolname.example,Section A,0,68.69
Synthetic Student 026,SYN-EXP-000026,SYN-SIS-000026,synthetic026,fchen28@schoolname.example,Section B,47.21,44.92
Synthetic Student 027,SYN-EXP-000027,SYN-SIS-000027,synthetic027,gdavis28@schoolname.example,Section C,73.41,66.85
Synthetic Student 028,SYN-EXP-000028,SYN-SIS-000028,synthetic028,hevans28@schoolname.example,Section D,42.62,51.3
Synthetic Student 029,SYN-EXP-000029,SYN-SIS-000029,synthetic029,iflores29@schoolname.example,Section A,50.36,50.6
Synthetic Student 030,SYN-EXP-000030,SYN-SIS-000030,synthetic030,jgarcia28@schoolname.example,Section B,74.92,84.53
Synthetic Student 031,SYN-EXP-000031,SYN-SIS-000031,synthetic031,khayes29@schoolname.example,Section C,64.38,68.12
Synthetic Student 032,SYN-EXP-000032,SYN-SIS-000032,synthetic032,librahim29@schoolname.example,Section D,76.12,80.58
Synthetic Student 033,SYN-EXP-000033,SYN-SIS-000033,synthetic033,mjohnson28@schoolname.example,Section A,35.64,0
Synthetic Student 034,SYN-EXP-000034,SYN-SIS-000034,synthetic034,nkim26@schoolname.example,Section B,100,100
Synthetic Student 035,SYN-EXP-000035,SYN-SIS-000035,synthetic035,plewis29@schoolname.example,Section C,11.52,21.55
Synthetic Student 036,SYN-EXP-000036,SYN-SIS-000036,synthetic036,qmartinez26@schoolname.example,Section D,65.48,75.66
Synthetic Student 037,SYN-EXP-000037,SYN-SIS-000037,synthetic037,rnelson27@schoolname.example,Section A,42.31,49.25
Synthetic Student 038,SYN-EXP-000038,SYN-SIS-000038,synthetic038,sortiz27@schoolname.example,Section B,59.96,65.72
Synthetic Student 039,SYN-EXP-000039,SYN-SIS-000039,synthetic039,tprice29@schoolname.example,Section C,34.26,37.38
Synthetic Student 040,SYN-EXP-000040,SYN-SIS-000040,synthetic040,vstone26@schoolname.example,Section D,81.53,86.66
Synthetic Student 041,SYN-EXP-000041,SYN-SIS-000041,synthetic041,arivera27@schoolname.example,Section A,0,56.58
Synthetic Student 042,SYN-EXP-000042,SYN-SIS-000042,synthetic042,bnguyen26@schoolname.example,Section B,86.06,87.41
Synthetic Student 043,SYN-EXP-000043,SYN-SIS-000043,synthetic043,cpatel27@schoolname.example,Section C,74.62,81.99
Synthetic Student 044,SYN-EXP-000044,SYN-SIS-000044,synthetic044,dbrooks26@schoolname.example,Section D,32.96,34.47
Synthetic Student 045,SYN-EXP-000045,SYN-SIS-000045,synthetic045,echen29@schoolname.example,Section A,35.67,45.86
Synthetic Student 046,SYN-EXP-000046,SYN-SIS-000046,synthetic046,fdavis29@schoolname.example,Section B,43.95,55.06
Synthetic Student 047,SYN-EXP-000047,SYN-SIS-000047,synthetic047,gevans27@schoolname.example,Section C,80.63,87.51
Synthetic Student 048,SYN-EXP-000048,SYN-SIS-000048,synthetic048,hflores26@schoolname.example,Section D,45.74,55.24
Synthetic Student 049,SYN-EXP-000049,SYN-SIS-000049,synthetic049,igarcia26@schoolname.example,Section A,0,95.6
Synthetic Student 050,SYN-EXP-000050,SYN-SIS-000050,synthetic050,jhayes29@schoolname.example,Section B,24.35,30.8
Synthetic Student 051,SYN-EXP-000051,SYN-SIS-000051,synthetic051,kibrahim29@schoolname.example,Section C,57.53,61.75
Synthetic Student 052,SYN-EXP-000052,SYN-SIS-000052,synthetic052,ljohnson28@schoolname.example,Section D,56.8,0
Synthetic Student 053,SYN-EXP-000053,SYN-SIS-000053,synthetic053,mkim29@schoolname.example,Section A,95.31,98.97
Synthetic Student 054,SYN-EXP-000054,SYN-SIS-000054,synthetic054,nlewis29@schoolname.example,Section B,17.3,24.79
Synthetic Student 055,SYN-EXP-000055,SYN-SIS-000055,synthetic055,pmartinez29@schoolname.example,Section C,69.54,72.02
Synthetic Student 056,SYN-EXP-000056,SYN-SIS-000056,synthetic056,qnelson26@schoolname.example,Section D,54.26,62.31
Synthetic Student 057,SYN-EXP-000057,SYN-SIS-000057,synthetic057,rortiz29@schoolname.example,Section A,72.56,76.85
Synthetic Student 058,SYN-EXP-000058,SYN-SIS-000058,synthetic058,sprice29@schoolname.example,Section B,49.73,57.46
Synthetic Student 059,SYN-EXP-000059,SYN-SIS-000059,synthetic059,tstone28@schoolname.example,Section C,0,26
Synthetic Student 060,SYN-EXP-000060,SYN-SIS-000060,synthetic060,vmiller27@schoolname.example,Section D,53.87,45.96
Synthetic Student 061,SYN-EXP-000061,SYN-SIS-000061,synthetic061,anguyen28@schoolname.example,Section A,16.45,31.98
Synthetic Student 062,SYN-EXP-000062,SYN-SIS-000062,synthetic062,bpatel29@schoolname.example,Section B,63.28,71.93
Synthetic Student 063,SYN-EXP-000063,SYN-SIS-000063,synthetic063,cbrooks28@schoolname.example,Section C,39.58,49.93
Synthetic Student 064,SYN-EXP-000064,SYN-SIS-000064,synthetic064,dchen27@schoolname.example,Section D,27.06,32.27
Synthetic Student 065,SYN-EXP-000065,SYN-SIS-000065,synthetic065,edavis29@schoolname.example,Section A,21.39,32.71
Synthetic Student 066,SYN-EXP-000066,SYN-SIS-000066,synthetic066,fevans28@schoolname.example,Section B,60.92,64.71
Synthetic Student 067,SYN-EXP-000067,SYN-SIS-000067,synthetic067,gflores28@schoolname.example,Section C,35.06,41.63
Synthetic Student 068,SYN-EXP-000068,SYN-SIS-000068,synthetic068,hgarcia27@schoolname.example,Section D,69.53,74.03
Synthetic Student 069,SYN-EXP-000069,SYN-SIS-000069,synthetic069,ihayes28@schoolname.example,Section A,57.17,59.61
Synthetic Student 070,SYN-EXP-000070,SYN-SIS-000070,synthetic070,jibrahim29@schoolname.example,Section B,42.25,43.86
Synthetic Student 071,SYN-EXP-000071,SYN-SIS-000071,synthetic071,kjohnson27@schoolname.example,Section C,36.07,35.38
Synthetic Student 072,SYN-EXP-000072,SYN-SIS-000072,synthetic072,lkim27@schoolname.example,Section D,20.7,35.27
Synthetic Student 073,SYN-EXP-000073,SYN-SIS-000073,synthetic073,mlewis28@schoolname.example,Section A,60.97,62.47
Synthetic Student 074,SYN-EXP-000074,SYN-SIS-000074,synthetic074,nmartinez26@schoolname.example,Section B,37.04,38.39
Synthetic Student 075,SYN-EXP-000075,SYN-SIS-000075,synthetic075,pnelson27@schoolname.example,Section C,82.66,87.41
Synthetic Student 076,SYN-EXP-000076,SYN-SIS-000076,synthetic076,qortiz28@schoolname.example,Section D,46.67,53.18
Synthetic Student 077,SYN-EXP-000077,SYN-SIS-000077,synthetic077,rprice27@schoolname.example,Section A,0,28.04
Synthetic Student 078,SYN-EXP-000078,SYN-SIS-000078,synthetic078,sstone28@schoolname.example,Section B,37.86,41.57
Synthetic Student 079,SYN-EXP-000079,SYN-SIS-000079,synthetic079,tmiller28@schoolname.example,Section C,69.39,73.34
Synthetic Student 080,SYN-EXP-000080,SYN-SIS-000080,synthetic080,vrivera28@schoolname.example,Section D,25.44,29.36
Synthetic Student 081,SYN-EXP-000081,SYN-SIS-000081,synthetic081,apatel29@schoolname.example,Section A,91.85,94.94
Synthetic Student 082,SYN-EXP-000082,SYN-SIS-000082,synthetic082,bbrooks27@schoolname.example,Section B,50.47,53.13
Synthetic Student 083,SYN-EXP-000083,SYN-SIS-000083,synthetic083,cchen27@schoolname.example,Section C,34.33,33.96
Synthetic Student 084,SYN-EXP-000084,SYN-SIS-000084,synthetic084,ddavis29@schoolname.example,Section D,55.03,62.15
Synthetic Student 085,SYN-EXP-000085,SYN-SIS-000085,synthetic085,eevans29@schoolname.example,Section A,52.06,54.05
Synthetic Student 086,SYN-EXP-000086,SYN-SIS-000086,synthetic086,fflores29@schoolname.example,Section B,58.31,63.55
Synthetic Student 087,SYN-EXP-000087,SYN-SIS-000087,synthetic087,ggarcia28@schoolname.example,Section C,0,48.57
Synthetic Student 088,SYN-EXP-000088,SYN-SIS-000088,synthetic088,hhayes28@schoolname.example,Section D,58.82,62.96
Synthetic Student 089,SYN-EXP-000089,SYN-SIS-000089,synthetic089,iibrahim27@schoolname.example,Section A,84.66,82.78
Synthetic Student 090,SYN-EXP-000090,SYN-SIS-000090,synthetic090,jjohnson27@schoolname.example,Section B,58.27,59.57
Synthetic Student 091,SYN-EXP-000091,SYN-SIS-000091,synthetic091,kkim28@schoolname.example,Section C,67.29,81.67
Synthetic Student 092,SYN-EXP-000092,SYN-SIS-000092,synthetic092,llewis29@schoolname.example,Section D,54.48,60.48
Synthetic Student 093,SYN-EXP-000093,SYN-SIS-000093,synthetic093,mmartinez26@schoolname.example,Section A,78.84,74.91
Synthetic Student 094,SYN-EXP-000094,SYN-SIS-000094,synthetic094,nnelson28@schoolname.example,Section B,60.83,71.46
Synthetic Student 095,SYN-EXP-000095,SYN-SIS-000095,synthetic095,portiz26@schoolname.example,Section C,63.6,63.27
Synthetic Student 096,SYN-EXP-000096,SYN-SIS-000096,synthetic096,qprice26@schoolname.example,Section D,81.22,84.42
Synthetic Student 097,SYN-EXP-000097,SYN-SIS-000097,synthetic097,rstone28@schoolname.example,Section A,47.25,51.91
Synthetic Student 098,SYN-EXP-000098,SYN-SIS-000098,synthetic098,smiller28@schoolname.example,Section B,54.73,0
Synthetic Student 099,SYN-EXP-000099,SYN-SIS-000099,synthetic099,trivera26@schoolname.example,Section C,44.99,46.9
Synthetic Student 100,SYN-EXP-000100,SYN-SIS-000100,synthetic100,vnguyen29@schoolname.example,Section D,14.3,21.98
Synthetic Student 101,SYN-EXP-000101,SYN-SIS-000101,synthetic101,abrooks26@schoolname.example,Section A,18.34,28.7
Synthetic Student 102,SYN-EXP-000102,SYN-SIS-000102,synthetic102,bchen26@schoolname.example,Section B,38.52,42.56
Synthetic Student 103,SYN-EXP-000103,SYN-SIS-000103,synthetic103,cdavis26@schoolname.example,Section C,62.44,73.6
Synthetic Student 104,SYN-EXP-000104,SYN-SIS-000104,synthetic104,devans26@schoolname.example,Section D,87.71,92.31
Synthetic Student 105,SYN-EXP-000105,SYN-SIS-000105,synthetic105,eflores29@schoolname.example,Section A,30.91,35.87
Synthetic Student 106,SYN-EXP-000106,SYN-SIS-000106,synthetic106,fgarcia26@schoolname.example,Section B,74.01,69.98
Synthetic Student 107,SYN-EXP-000107,SYN-SIS-000107,synthetic107,ghayes27@schoolname.example,Section C,20.8,32.23
Synthetic Student 108,SYN-EXP-000108,SYN-SIS-000108,synthetic108,hibrahim27@schoolname.example,Section D,46.33,57.66
Synthetic Student 109,SYN-EXP-000109,SYN-SIS-000109,synthetic109,ijohnson28@schoolname.example,Section A,71.06,78.19
Synthetic Student 110,SYN-EXP-000110,SYN-SIS-000110,synthetic110,jkim28@schoolname.example,Section B,73.9,74.23
Synthetic Student 111,SYN-EXP-000111,SYN-SIS-000111,synthetic111,klewis29@schoolname.example,Section C,31.03,34.45
Synthetic Student 112,SYN-EXP-000112,SYN-SIS-000112,synthetic112,lmartinez29@schoolname.example,Section D,10.69,17.96
Synthetic Student 113,SYN-EXP-000113,SYN-SIS-000113,synthetic113,mnelson29@schoolname.example,Section A,15.23,22.82
Synthetic Student 114,SYN-EXP-000114,SYN-SIS-000114,synthetic114,nortiz29@schoolname.example,Section B,43.12,42.97
Synthetic Student 115,SYN-EXP-000115,SYN-SIS-000115,synthetic115,pprice28@schoolname.example,Section C,0,64.64
