Student,ID,SIS User ID,SIS Login ID,Email,Section,Assignment 01,Assignment 02,Assignment 03,Assignment 04,Assignment 05,Assignment 06,Assignment 07,Assignment 08,Assignment 09,Assignment 10,Assignment 11,Assignment 12,Assignment 13,Assignment 14
Synthetic Student 001,SYN-EXP-000001,SYN-SIS-000001,synthetic001,astone29@schoolname.example,Section A,0,44.19,41.38,55.29,0,55.14,52.22,60.69,,,,,,
Synthetic Student 002,SYN-EXP-000002,SYN-SIS-000002,synthetic002,bmiller28@schoolname.example,Section B,53.15,57.71,56.8,62.83,56.41,60.29,,,,,,,,
Synthetic Student 003,SYN-EXP-000003,SYN-SIS-000003,synthetic003,crivera27@schoolname.example,Section C,21.44,26.9,23.66,33.33,,,,,,,,,,
Synthetic Student 004,SYN-EXP-000004,SYN-SIS-000004,synthetic004,dnguyen27@schoolname.example,Section D,47.52,52.69,43.96,53.12,,,,,,,,,,
Synthetic Student 005,SYN-EXP-000005,SYN-SIS-000005,synthetic005,epatel26@schoolname.example,Section A,35.69,53.51,,,,,,,,,,,,
Synthetic Student 006,SYN-EXP-000006,SYN-SIS-000006,synthetic006,fbrooks27@schoolname.example,Section B,48.63,58.36,56.63,57.36,,,,,,,,,,
Synthetic Student 007,SYN-EXP-000007,SYN-SIS-000007,synthetic007,gchen26@schoolname.example,Section C,56.18,66.4,,,,,,,,,,,,
Synthetic Student 008,SYN-EXP-000008,SYN-SIS-000008,synthetic008,hdavis27@schoolname.example,Section D,62.75,67.58,67.36,72.55,,,,,,,,,,
Synthetic Student 009,SYN-EXP-000009,SYN-SIS-000009,synthetic009,ievans27@schoolname.example,Section A,0,0,83.53,79.54,,,,,,,,,,
Synthetic Student 010,SYN-EXP-000010,SYN-SIS-000010,synthetic010,jflores26@schoolname.example,Section B,0,70.05,,,,,,,,,,,,
Synthetic Student 011,SYN-EXP-000011,SYN-SIS-000011,synthetic011,kgarcia29@schoolname.example,Section C,0,47.07,42.96,46.99,49.71,54.86,48.01,57.23,,,,,,
Synthetic Student 012,SYN-EXP-000012,SYN-SIS-000012,synthetic012,lhayes29@schoolname.example,Section D,49.92,56.88,52.19,53.46,48.62,59.91,52.83,55.97,,,,,,
Synthetic Student 013,SYN-EXP-000013,SYN-SIS-000013,synthetic013,mibrahim28@schoolname.example,Section A,68.63,70.55,75.49,74.2,71.01,86.5,,,,,,,,
Synthetic Student 014,SYN-EXP-000014,SYN-SIS-000014,synthetic014,njohnson28@schoolname.example,Section B,0,54.28,53.48,56.78,59.23,54.23,,,,,,,,
Synthetic Student 015,SYN-EXP-000015,SYN-SIS-000015,synthetic015,pkim27@schoolname.example,Section C,41.18,50.01,41.6,48.41,,,,,,,,,,
Synthetic Student 016,SYN-EXP-000016,SYN-SIS-000016,synthetic016,qlewis29@schoolname.example,Section D,81.41,81.33,78.74,84.96,84.41,84.22,74.22,87.94,,,,,,
Synthetic Student 017,SYN-EXP-000017,SYN-SIS-000017,synthetic017,rmartinez29@schoolname.example,Section A,15.53,34.89,30.43,42.57,35.14,39.56,40.64,45.62,,,,,,
Synthetic Student 018,SYN-EXP-000018,SYN-SIS-000018,synthetic018,snelson28@schoolname.example,Section B,89.19,95.72,89.41,99.57,89.69,90.71,,,,,,,,
Synthetic Student 019,SYN-EXP-000019,SYN-SIS-000019,synthetic019,tortiz29@schoolname.example,Section C,32.09,33.82,38.29,43.1,33.6,44.31,43.85,47.4,,,,,,
Synthetic Student 020,SYN-EXP-000020,SYN-SIS-000020,synthetic020,vprice27@schoolname.example,Section D,77.78,85.27,83.13,90.55,,,,,,,,,,
Synthetic Student 021,SYN-EXP-000021,SYN-SIS-000021,synthetic021,amiller27@schoolname.example,Section A,90.14,93.7,90.12,91.97,,,,,,,,,,
Synthetic Student 022,SYN-EXP-000022,SYN-SIS-000022,synthetic022,brivera29@schoolname.example,Section B,66.55,66.37,72.92,79.37,73.07,79.95,70.81,80.21,,,,,,
