school_year,school_year_offset,Student,SIS User ID,grade_level,course_id,section_id,teacher_id,enrollment_status
2025-2026,0,Synthetic Student 001,SYN-SIS-000001,9,MATH-ALG2-H,Y00-SEC-014,TCH-003,active
2025-2026,0,Synthetic Student 002,SYN-SIS-000002,10,MATH-ALG2,Y00-SEC-011,TCH-003,active
2025-2026,0,Synthetic Student 003,SYN-SIS-000003,11,MATH-ALG2,Y00-SEC-011,TCH-003,active
2025-2026,0,Synthetic Student 004,SYN-SIS-000004,11,MATH-ALG2,Y00-SEC-010,TCH-002,active
2025-2026,0,Synthetic Student 005,SYN-SIS-000005,12,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,active
2025-2026,0,Synthetic Student 006,SYN-SIS-000006,11,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,active
2025-2026,0,Synthetic Student 007,SYN-SIS-000007,12,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,active
2025-2026,0,Synthetic Student 008,SYN-SIS-000008,11,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,active
2025-2026,0,Synthetic Student 009,SYN-SIS-000009,11,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,active
2025-2026,0,Synthetic Student 010,SYN-SIS-000010,12,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,active
2025-2026,0,Synthetic Student 011,SYN-SIS-000011,9,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,active
2025-2026,0,Synthetic Student 012,SYN-SIS-000012,9,MATH-GEOM,Y00-SEC-008,TCH-002,active
2025-2026,0,Synthetic Student 013,SYN-SIS-000013,10,MATH-ALG2-H,Y00-SEC-015,TCH-003,active
2025-2026,0,Synthetic Student 014,SYN-SIS-000014,10,MATH-ALG2,Y00-SEC-010,TCH-002,active
2025-2026,0,Synthetic Student 015,SYN-SIS-000015,11,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,active
2025-2026,0,Synthetic Student 016,SYN-SIS-000016,9,MATH-ALG2-H,Y00-SEC-015,TCH-003,active
2025-2026,0,Synthetic Student 017,SYN-SIS-000017,9,MATH-ALG1,Y00-SEC-001,TCH-001,active
